Player,Rating,Year,Month,Source,Ranking,Last name,Champion,Champion status
Lev Polugaevsky,2734,1975,5,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2734,1975,5,chessmetrics,5,Petrosian,Karpov 1,Not champion
Rafael Vaganian,2730,1975,5,chessmetrics,6,Vaganian,Karpov 1,Not champion
Lajos Portisch,2727,1975,5,chessmetrics,7,Portisch,Karpov 1,Not champion
Robert Hübner,2720,1975,5,chessmetrics,8,Hübner,Karpov 1,Not champion
Boris Spassky,2719,1975,5,chessmetrics,9,Spassky,Karpov 1,Not champion
Henrique Mecking,2713,1975,5,chessmetrics,10,Mecking,Karpov 1,Not champion
Anatoly Karpov,2803,1975,4,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2772,1975,4,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2750,1975,4,chessmetrics,3,Tal,Karpov 1,Not champion
Tigran Petrosian,2739,1975,4,chessmetrics,4,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2733,1975,4,chessmetrics,5,Polugaevsky,Karpov 1,Not champion
Rafael Vaganian,2731,1975,4,chessmetrics,6,Vaganian,Karpov 1,Not champion
Lajos Portisch,2729,1975,4,chessmetrics,7,Portisch,Karpov 1,Not champion
Robert Hübner,2723,1975,4,chessmetrics,8,Hübner,Karpov 1,Not champion
Boris Spassky,2720,1975,4,chessmetrics,9,Spassky,Karpov 1,Not champion
Oleg Romanishin,2714,1975,4,chessmetrics,10,Romanishin,Karpov 1,Not champion
Anatoly Karpov,2804,1975,3,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2772,1975,3,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2751,1975,3,chessmetrics,3,Tal,Karpov 1,Not champion
Tigran Petrosian,2741,1975,3,chessmetrics,4,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2734,1975,3,chessmetrics,5,Polugaevsky,Karpov 1,Not champion
Lajos Portisch,2731,1975,3,chessmetrics,6,Portisch,Karpov 1,Not champion
Robert Hübner,2723,1975,3,chessmetrics,7,Hübner,Karpov 1,Not champion
Rafael Vaganian,2722,1975,3,chessmetrics,8,Vaganian,Karpov 1,Not champion
Boris Spassky,2719,1975,3,chessmetrics,9,Spassky,Karpov 1,Not champion
Oleg Romanishin,2718,1975,3,chessmetrics,10,Romanishin,Karpov 1,Not champion
Anatoly Karpov,2802,1975,2,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2771,1975,2,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2750,1975,2,chessmetrics,3,Tal,Karpov 1,Not champion
Tigran Petrosian,2742,1975,2,chessmetrics,4,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2732,1975,2,chessmetrics,5,Polugaevsky,Karpov 1,Not champion
Lajos Portisch,2731,1975,2,chessmetrics,6,Portisch,Karpov 1,Not champion
Oleg Romanishin,2726,1975,2,chessmetrics,7,Romanishin,Karpov 1,Not champion
Robert Hübner,2721,1975,2,chessmetrics,8,Hübner,Karpov 1,Not champion
Rafael Vaganian,2720,1975,2,chessmetrics,9,Vaganian,Karpov 1,Not champion
Boris Spassky,2718,1975,2,chessmetrics,10,Spassky,Karpov 1,Not champion
Anatoly Karpov,2804,1975,1,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2772,1975,1,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2751,1975,1,chessmetrics,3,Tal,Karpov 1,Not champion
Tigran Petrosian,2739,1975,1,chessmetrics,4,Petrosian,Karpov 1,Not champion
Oleg Romanishin,2735,1975,1,chessmetrics,5,Romanishin,Karpov 1,Not champion
Lev Polugaevsky,2734,1975,1,chessmetrics,6,Polugaevsky,Karpov 1,Not champion
Robert Hübner,2728,1975,1,chessmetrics,7,Hübner,Karpov 1,Not champion
Rafael Vaganian,2723,1975,1,chessmetrics,8,Vaganian,Karpov 1,Not champion
Lajos Portisch,2721,1975,1,chessmetrics,9,Portisch,Karpov 1,Not champion
Boris Spassky,2721,1975,1,chessmetrics,10,Spassky,Karpov 1,Not champion
Anatoly Karpov,2803,1974,12,chessmetrics,1,Karpov,Fischer 1,Not champion
Viktor Korchnoi,2770,1974,12,chessmetrics,2,Korchnoi,Fischer 1,Not champion
Mikhail Tal,2751,1974,12,chessmetrics,3,Tal,Fischer 1,Not champion
Tigran Petrosian,2741,1974,12,chessmetrics,4,Petrosian,Fischer 1,Not champion
Lev Polugaevsky,2736,1974,12,chessmetrics,5,Polugaevsky,Fischer 1,Not champion
Robert Hübner,2732,1974,12,chessmetrics,6,Hübner,Fischer 1,Not champion
Oleg Romanishin,2728,1974,12,chessmetrics,7,Romanishin,Fischer 1,Not champion
Lajos Portisch,2722,1974,12,chessmetrics,8,Portisch,Fischer 1,Not champion
Boris Spassky,2722,1974,12,chessmetrics,9,Spassky,Fischer 1,Not champion
Rafael Vaganian,2716,1974,12,chessmetrics,10,Vaganian,Fischer 1,Not champion
Anatoly Karpov,2803,1974,11,chessmetrics,1,Karpov,Fischer 1,Not champion
Viktor Korchnoi,2771,1974,11,chessmetrics,2,Korchnoi,Fischer 1,Not champion
Mikhail Tal,2752,1974,11,chessmetrics,3,Tal,Fischer 1,Not champion
Tigran Petrosian,2742,1974,11,chessmetrics,4,Petrosian,Fischer 1,Not champion
Lev Polugaevsky,2739,1974,11,chessmetrics,5,Polugaevsky,Fischer 1,Not champion
Lajos Portisch,2727,1974,11,chessmetrics,6,Portisch,Fischer 1,Not champion
Robert Hübner,2726,1974,11,chessmetrics,7,Hübner,Fischer 1,Not champion
Boris Spassky,2725,1974,11,chessmetrics,8,Spassky,Fischer 1,Not champion
Oleg Romanishin,2718,1974,11,chessmetrics,9,Romanishin,Fischer 1,Not champion
