"","Ranking","Player","Rating","Year","Month"
"463",3,"Vladimir Kramnik",2817,2001,2
"464",4,"Peter Leko",2764,2001,2
"465",5,"Alexander Morozevich",2762,2001,2
"466",6,"Vassily Ivanchuk",2757,2001,2
"467",7,"Alexei Shirov",2753,2001,2
"468",8,"Michael Adams",2746,2001,2
"469",9,"Evgeny Bareev",2739,2001,2
"470",10,"Boris Gelfand",2737,2001,2
"471",1,"Garry Kasparov",2850,2001,1
"472",2,"Viswanathan Anand",2820,2001,1
"473",3,"Vladimir Kramnik",2815,2001,1
"474",4,"Peter Leko",2768,2001,1
"475",5,"Alexander Morozevich",2757,2001,1
"476",6,"Alexei Shirov",2750,2001,1
"477",7,"Vassily Ivanchuk",2749,2001,1
"478",8,"Michael Adams",2743,2001,1
"479",9,"Evgeny Bareev",2739,2001,1
"480",10,"Boris Gelfand",2738,2001,1
"481",1,"Garry Kasparov",2850,2000,12
"482",2,"Vladimir Kramnik",2815,2000,12
"483",3,"Viswanathan Anand",2809,2000,12
"484",4,"Peter Leko",2765,2000,12
"485",5,"Alexei Shirov",2756,2000,12
"486",6,"Alexander Morozevich",2756,2000,12
"487",7,"Vassily Ivanchuk",2749,2000,12
"488",8,"Michael Adams",2742,2000,12
"489",9,"Evgeny Bareev",2739,2000,12
"490",10,"Peter Svidler",2736,2000,12
"491",1,"Garry Kasparov",2854,2000,11
"492",2,"Vladimir Kramnik",2815,2000,11
"493",3,"Viswanathan Anand",2806,2000,11
"494",4,"Peter Leko",2767,2000,11
"495",5,"Alexei Shirov",2756,2000,11
"496",6,"Vassily Ivanchuk",2747,2000,11
"497",7,"Alexander Morozevich",2747,2000,11
"498",8,"Michael Adams",2744,2000,11
"499",9,"Peter Svidler",2743,2000,11
"500",10,"Evgeny Bareev",2737,2000,11
"501",1,"Garry Kasparov",2871,2000,10
"502",2,"Viswanathan Anand",2808,2000,10
"503",3,"Vladimir Kramnik",2802,2000,10
"504",4,"Peter Leko",2765,2000,10
"505",5,"Alexei Shirov",2758,2000,10
"506",6,"Vassily Ivanchuk",2750,2000,10
"507",7,"Michael Adams",2746,2000,10
"508",8,"Alexander Morozevich",2745,2000,10
"509",9,"Evgeny Bareev",2738,2000,10
"510",10,"Peter Svidler",2737,2000,10
"511",1,"Garry Kasparov",2871,2000,9
"512",2,"Viswanathan Anand",2804,2000,9
"513",3,"Vladimir Kramnik",2802,2000,9
"514",4,"Alexander Morozevich",2764,2000,9
"515",5,"Peter Leko",2763,2000,9
"516",6,"Alexei Shirov",2757,2000,9
"517",7,"Vassily Ivanchuk",2752,2000,9
"518",8,"Michael Adams",2751,2000,9
"519",9,"Peter Svidler",2738,2000,9
"520",10,"Evgeny Bareev",2729,2000,9
"521",1,"Garry Kasparov",2873,2000,8
"522",2,"Viswanathan Anand",2806,2000,8
"523",3,"Vladimir Kramnik",2801,2000,8
"524",4,"Peter Leko",2766,2000,8
"525",5,"Alexander Morozevich",2763,2000,8
"526",6,"Alexei Shirov",2759,2000,8
"527",7,"Vassily Ivanchuk",2753,2000,8
"528",8,"Michael Adams",2750,2000,8
"529",9,"Peter Svidler",2745,2000,8
"530",10,"Veselin Topalov",2726,2000,8
"531",1,"Garry Kasparov",2876,2000,7
"532",2,"Viswanathan Anand",2804,2000,7
"533",3,"Vladimir Kramnik",2801,2000,7
"534",4,"Alexander Morozevich",2767,2000,7
"535",5,"Alexei Shirov",2763,2000,7
"536",6,"Peter Leko",2763,2000,7
"537",7,"Michael Adams",2751,2000,7
"538",8,"Vassily Ivanchuk",2750,2000,7
"539",9,"Peter Svidler",2738,2000,7
"540",10,"Evgeny Bareev",2729,2000,7
"541",1,"Garry Kasparov",2876,2000,6
"542",2,"Viswanathan Anand",2804,2000,6
"543",3,"Vladimir Kramnik",2801,2000,6
"544",4,"Alexander Morozevich",2763,2000,6
"545",5,"Alexei Shirov",2763,2000,6
"546",6,"Peter Leko",2759,2000,6
"547",7,"Vassily Ivanchuk",2751,2000,6
"548",8,"Michael Adams",2750,2000,6
"549",9,"Peter Svidler",2737,2000,6
"550",10,"Evgeny Bareev",2732,2000,6
"551",1,"Garry Kasparov",2872,2000,5
"552",2,"Viswanathan Anand",2807,2000,5
"553",3,"Vladimir Kramnik",2801,2000,5
"554",4,"Alexander Morozevich",2762,2000,5
"555",5,"Peter Leko",2760,2000,5
"556",6,"Alexei Shirov",2750,2000,5
"557",7,"Michael Adams",2742,2000,5
"558",8,"Vassily Ivanchuk",2740,2000,5
"559",9,"Peter Svidler",2739,2000,5
"560",10,"Evgeny Bareev",2732,2000,5
"561",1,"Garry Kasparov",2871,2000,4
"562",2,"Viswanathan Anand",2803,2000,4
"563",3,"Vladimir Kramnik",2801,2000,4
"564",4,"Peter Leko",2760,2000,4
"565",5,"Alexander Morozevich",2759,2000,4
"566",6,"Alexei Shirov",2750,2000,4
"567",7,"Michael Adams",2744,2000,4
"568",8,"Vassily Ivanchuk",2741,2000,4
"569",9,"Evgeny Bareev",2732,2000,4
"570",10,"Peter Svidler",2729,2000,4
"571",1,"Garry Kasparov",2876,2000,3
"572",2,"Viswanathan Anand",2809,2000,3
"573",3,"Vladimir Kramnik",2800,2000,3
"574",4,"Alexander Morozevich",2758,2000,3
"575",5,"Peter Leko",2758,2000,3
"576",6,"Alexei Shirov",2754,2000,3
"577",7,"Michael Adams",2743,2000,3
"578",8,"Vassily Ivanchuk",2742,2000,3
"579",9,"Evgeny Bareev",2740,2000,3
"580",10,"Veselin Topalov",2730,2000,3
"581",1,"Garry Kasparov",2875,2000,2
"582",2,"Viswanathan Anand",2810,2000,2
"583",3,"Vladimir Kramnik",2797,2000,2
"584",4,"Peter Leko",2755,2000,2
"585",5,"Alexei Shirov",2754,2000,2
"586",6,"Alexander Morozevich",2754,2000,2
